SchoolCode,SchoolName,City,StateCode
042567,"REFORMED UNIVERSITY",LAWRENCEVILLE,GA
042568,"ARKANSAS COLLEGES OF HEALTH EDUCATION","FORT SMITH",AR
042577,"TOTALLY COSMO SCHOOL OF MODERN COSMETOLO","BROKEN BOW",OK
042578,"MOBILE TECHNICAL TRAINING","SOUTH HACKENSACK",NJ
042579,"AMERICAN BARBER AND BEAUTY ACADEMY",READING,PA
042580,"SEATTLE FILM INSTITUTE",SEATTLE,WA
042582,"CHRISTINA AND COMPANY EDUCATION CENTER",LAFAYETTE,IN
042585,"PREMIERE INTERNATIONAL COLLEGE","FORT MYERS",FL
042588,"KENNY'S BEAUTY ACADEMY",ARLINGTON,VA
042589,"MASTER'S BARBER & STYLING COLLEGE","OLD HICKORY",TN
042590,"YESHIVA SHAAR EPHRAIM",MONSEY,NY
042593,"BURRELL COLLEGE OF OSTEOPATHIC MEDICINE","LAS CRUCES",NM
042596,"SHILOH UNIVERSITY",KALONA,IA
042597,"UNIVERSITY OF SAINT KATHERINE","SAN MARCOS",CA
042598,"CALIFORNIA INSTITUTE OF ARTS & TECHNOLOG","SAN DIEGO",CA
042600,"INSTITUTE OF MEDICAL ULTRASOUND",ATLANTA,GA
042602,"ELITE COSMETOLOGY, BARBER & SPA ACADEMY",YAKIMA,WA
042604,"CUTTING EDGE ACADEMY",SUCCASUNNA,NJ
042605,"DIGITAL MEDIA INSTITUTE AT INTERTECH",SHREVEPORT,LA
042609,"MYSTROS BARBER ACADEMY",HOUSTON,TX
042612,"YESHIVA BAIS AHARON",LAKEWOOD,NJ
042613,"EUROPEAN MEDICAL SCHOOL OF MASSAGE","SINKING SPRING",PA
042615,"MECHON L'HOYROA",MONSEY,NY
042621,"MY BEAUTY & BARBER COLLEGE",SACRAMENTO,CA
042622,"ELYON COLLEGE",BROOKLYN,NY
042629,"WESTERN MICHIGAN UNIVERSITY HOMER STRYKE",KALAMAZOO,MI
042630,"HARMONY HEALTH CARE INSTITUTE",MERRIMACK,NH
042634,"FLORIDA POLYTECHNIC UNIVERSITY",LAKELAND,FL
042635,"AMERICAN BEAUTY SCHOOLS",MIAMI,FL
042636,"NORTHEAST LAKEVIEW COLLEGE","UNIVERSAL CITY",TX
042644,"YESHIVA GEDOLAH TIFERES BORUCH","NORTH PLAINFIELD",NJ
042645,"YESHIVA OHR NAFTOLI","NEW WINDSOR",NY
042646,"HOGAN INSTITUTE OF COSMETOLOGY AND ESTHE",LILBURN,GA
042648,"J'S BARBER COLLEGE","NEW IBERIA",LA
042649,"YESHIVA CHEMDAS HATORAH",LAKEWOOD,NJ
042652,"WOMEN'S INSTITUTE OF TORAH SEMINARY",BALTIMORE,MD
042653,"YESHIVA GEDOLAH KEREN HATORAH",LAKEWOOD,NJ
042654,"ANN WEBB SKIN INSTITUTE",AUSTIN,TX
042655,"ICOHS COLLEGE","SAN DIEGO",CA
042656,"AMERICAN FITNESS AND NUTRITION ACADEMY",PASADENA,CA
042657,"SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY","SAN DIEGO",CA
042659,"YESHIVA KOLLEL TIFERETH ELIZER",BROOKLYN,NY
042660,"BAIS MEDRASH MAYAN HATORAH",LAKEWOOD,NJ
042661,"APEX ACADEMY HAIR SKIN NAILS SCHOOL OF C",ONTARIO,OH
042663,"JOHNNY MATTHEW'S HAIRDRESSING TRAINING S",SALEM,OR
042668,"CARIBBEAN AVIATION TRAINING INSTITUTE",CAROLINA,PR
042669,"SANS TECHNOLOGY INSTITUTE","NORTH BETHESDA",MD
042670,"NEO-ESTHETIQUE EUROPEAN INSTITUTE","SAN JUAN",PR
042671,"UNLIMITED COSMETOLOGY SCHOOL",HATTIESBURG,MS
042672,"ALLGOOD BEAUTY INSTITUTE",FRISCO,TX
042673,"LEHIGH VALLEY BARBER SCHOOL",BETHLEHEM,PA
042675,"INTERNATIONAL BARBER COLLEGE",CHANDLER,AZ
042677,"ESTHETIC INSTITUTE (THE)",VIENNA,VA
042678,"BAIS BINYOMIN ACADEMY",MONSEY,NY
042679,"BROWN BEAUTY BARBER SCHOOL",BESSEMER,AL
042680,"KOR BEAUTY ACADEMY",PEORIA,AZ
042681,"RAY J'S COLLEGE OF HAIR","BATON ROUGE",LA
042683,"REXBURG COLLEGE OF MASSAGE THERAPY",REXBURG,ID
